epoch,loss,mae,mape,mse,val_loss,val_mae,val_mape,val_mse
0,0.44308027625083923,0.20916052162647247,362.3985290527344,0.10316931456327438,0.3094310462474823,0.16357187926769257,198.9556121826172,0.051431167870759964
1,0.3689546287059784,0.19204355776309967,505.35296630859375,0.07888264954090118,0.28212159872055054,0.15424934029579163,200.85707092285156,0.04731343686580658
2,0.3592871129512787,0.1898268759250641,260.2681579589844,0.07767954468727112,0.29056525230407715,0.16667260229587555,169.01820373535156,0.0531894825398922
3,0.3571293354034424,0.19069793820381165,377.845458984375,0.07843588292598724,0.28460419178009033,0.16549405455589294,202.551025390625,0.05137808248400688
4,0.35489621758461,0.19124740362167358,349.188232421875,0.07880950719118118,0.2761315405368805,0.15687774121761322,188.58839416503906,0.046505190432071686
5,0.35425055027008057,0.1912582516670227,395.73004150390625,0.07888251543045044,0.2865218222141266,0.16150277853012085,177.26353454589844,0.06105983629822731
6,0.35538622736930847,0.1918724626302719,409.9068603515625,0.07958969473838806,0.2828582227230072,0.16297201812267303,194.09121704101562,0.05339626595377922
7,0.35445138812065125,0.19184477627277374,338.55291748046875,0.0794433206319809,0.26519784331321716,0.1481080949306488,186.4790802001953,0.041911687701940536
8,0.3542349934577942,0.19171008467674255,491.3704528808594,0.07935057580471039,0.2794915437698364,0.1614605039358139,200.40585327148438,0.05027414485812187
9,0.3547898232936859,0.19195321202278137,485.2038269042969,0.07974497228860855,0.290508896112442,0.16862374544143677,187.71009826660156,0.05571015551686287
10,0.35501083731651306,0.1920819878578186,305.3191223144531,0.08005926758050919,0.2703797519207001,0.15244601666927338,164.93031311035156,0.044218000024557114
11,0.35430020093917847,0.19192619621753693,412.0443115234375,0.07960818707942963,0.2737056612968445,0.15527349710464478,180.5371856689453,0.04894820600748062
12,0.35577937960624695,0.19252286851406097,373.5508117675781,0.08069712668657303,0.3002418577671051,0.17828986048698425,212.07521057128906,0.06281498819589615
13,0.3546529710292816,0.19197651743888855,364.97369384765625,0.0798625573515892,0.2915651202201843,0.1693645417690277,196.72329711914062,0.05925459414720535
